Value,Method
1.156,Method_1
1.145,Method_1
1.147,Method_1
0.782,Method_1
1.515,Method_1
1.183,Method_1
0.666,Method_1
1.487,Method_1
1.431,Method_1
1.125,Method_1
1.000,Method_1
1.427,Method_1
1.432,Method_1
1.419,Method_1
1.313,Method_1
1.160,Method_1
1.323,Method_1
1.149,Method_1
1.465,Method_1
1.039,Method_1
1.357,Method_1
1.410,Method_1
1.513,Method_1
1.452,Method_1
1.232,Method_1
1.274,Method_1
1.360,Method_1
1.242,Method_1
1.465,Method_1
1.055,Method_1
1.439,Method_1
1.410,Method_2
1.528,Method_2
1.247,Method_2
0.799,Method_2
1.167,Method_2
1.478,Method_2
1.169,Method_2
1.163,Method_2
1.442,Method_2
1.225,Method_2
1.472,Method_2
1.401,Method_2
1.438,Method_2
1.293,Method_2
1.266,Method_2
1.504,Method_2
1.312,Method_2
1.465,Method_2
1.351,Method_2
1.303,Method_2
1.209,Method_2
1.383,Method_2
1.319,Method_2
1.361,Method_2
1.441,Method_2
1.523,Method_2
1.508,Method_2
1.346,Method_2
0.980,Method_2
1.114,Method_2
1.587,Method_2
1.484,Method_3
1.134,Method_3
1.105,Method_3
0.808,Method_3
1.488,Method_3
0.517,Method_3
1.504,Method_3
1.224,Method_3
0.928,Method_3
0.916,Method_3
1.269,Method_3
1.219,Method_3
0.437,Method_3
0.447,Method_3
1.056,Method_3
0.572,Method_3
0.848,Method_3
1.328,Method_3
1.475,Method_3
1.477,Method_3
1.294,Method_3
1.369,Method_3
0.910,Method_3
1.390,Method_3
0.774,Method_3
1.223,Method_3
1.252,Method_3
1.479,Method_3
0.986,Method_3
0.766,Method_3
1.325,Method_3
0.765,Method_4
0.575,Method_4
0.829,Method_4
1.033,Method_4
1.125,Method_4
1.402,Method_4
1.111,Method_4
0.711,Method_4
0.560,Method_4
1.313,Method_4
0.886,Method_4
1.098,Method_4
1.122,Method_4
0.922,Method_4
1.531,Method_4
0.000,Method_4
1.430,Method_4
0.698,Method_4
1.475,Method_4
1.538,Method_4
1.265,Method_4
0.868,Method_4
1.236,Method_4
1.058,Method_4
1.573,Method_4
0.841,Method_4
1.069,Method_4
1.368,Method_4
1.277,Method_4
1.171,Method_4
1.455,Method_4
1.454,Method_5
1.310,Method_5
1.232,Method_5
1.526,Method_5
1.212,Method_5
1.030,Method_5
1.487,Method_5
0.939,Method_5
0.842,Method_5
1.582,Method_5
1.463,Method_5
0.757,Method_5
0.885,Method_5
1.457,Method_5
1.505,Method_5
1.226,Method_5
1.553,Method_5
1.438,Method_5
1.522,Method_5
1.529,Method_5
1.557,Method_5
0.378,Method_5
1.548,Method_5
1.538,Method_5
1.624,Method_5
1.409,Method_5
1.321,Method_5
0.983,Method_5
1.520,Method_5
0.688,Method_5
1.203,Method_5
1.181,Method_5
