1;1;Белка;Собака дворовая;Россия;Мясо свинины;1;80.00;02/09/2021
2;2;Стрелка;Собака дворовая;Россия;Мясо свинины;1;80.00;02/09/2021
3;3;Динго;Собака дикая;Австралия;Мясо;0,5;200;02/09/2021
4;120;ДонКиХод;Кит;Индийский океан;Морепродукты;100;5000;02/09/2021
5;254;Нео;Сергал;Вилос;Мясо;10;600;02/09/2021
6;122;Барел;Косатка;Индийский океан;Морепродукты;100;4000;02/09/2021
7;7;Лорелея;Собака дикая;Австралия;Мясо кенгуру;3;900.00;02/09/2021
8;8;Абраам;Обезьяна;Африка;Фрукты;5;100;02/09/2021
9;9;Тузик;Собака дворовая;Россия;Мясо свинины;10.000;100.00;02/09/2021
10;10;Арнольд;Обезьяна;Австралия;Фрукты;9;200;02/09/2021
11;11;Динго;Собака дикая;Австралия;Мясо кенгуру;2;5000.56;02/09/2021
12;122;Барел;Косатка;Индийский океан;Морепродукты;120;5620;03/09/2021
13;120;ДонКиХод;Кит;Индийский океан;Морепродукты;95;4330,90;01/08/2021
14;9;Тузик;Собака дворовая;Россия;Мясо свинины;8,15;100.00;03/09/2021
15;1;Белка;Собака дворовая;Россия;Мясо свинины;6,15;80.00;03/09/2021
16;2;Стрелка;Собака дворовая;Россия;Мясо свинины;10.000;150,36;03/09/2021
17;3;Динго;Собака дикая;Австралия;Мясо;0,5;250;03/09/2021
18;7;Лорелея;Собака дикая;Австралия;Мясо;2,58;503,23;03/09/2021
19;10;Арнольд;Обезьяна;Австралия;Фрукты;7,023;559,25;03/09/2021
20;11;Динго;Собака дикая;Австралия;Мясо;2;5000.56;03/09/2021
21;56;Малыш;Кенгуру;Австралия;Фрукты;2,58;422,32;03/09/2021
22;57;Рональд;Кенгуру;Австралия;Фрукты;2,495;435,6;03/09/2021
23;122;Барел;Косатка;Индийский океан;Морепродукты;50,2;603;20/05/2019
24;3;Динго;Собака дикая;Австралия;Мясо;0,2;20,3;20/05/2019
25;7;Лорелея;Собака дикая;Австралия;Мясо;0,4;43,02;20/05/2019
26;19;Арнольд;Обезьяна;Австралия;Фрукты;2,03;559,25;20/05/2019
27;255;Арчи;Сергал;Вилос;Мясо;7,202;500,3;20/05/2020
28;1024;Образец 47;Косатка;Россия;Мясо;89,2;2562,8;09/02/2015
29;89;Арчи;Собака дворовая;США;Мясо;9,2;800,2;16/10/2018
30;89;Абраам;Обезьяна;Африка;Фрукты;3,28;20;02/10/2021
